epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.80722,2.24474,3.39041,2.5874,0.02367,0.20339,0.01426,0.00348,1.96265,3.26331,2.63514,2e-05,2e-05,2e-05
2,3.35448,2.2943,3.50247,2.52259,0.02453,0.21186,0.0149,0.00344,1.97593,3.25735,2.63647,5.8812e-05,5.8812e-05,5.8812e-05
3,3.91657,2.18502,3.50588,2.40628,0.03008,0.27966,0.01932,0.00571,1.85401,3.11843,2.54197,9.604e-05,9.604e-05,9.604e-05
4,4.40384,2.03345,3.38126,2.24365,0.0442,0.44915,0.0324,0.01114,1.71562,2.90933,2.44332,0.000131684,0.000131684,0.000131684
5,4.88367,1.78948,3.07333,2.12895,0.07389,0.52542,0.13525,0.05944,1.53956,2.57626,2.31059,0.000165744,0.000165744,0.000165744
6,5.35803,1.6879,2.69696,2.08093,0.38299,0.31356,0.36599,0.16999,1.42968,2.08502,2.16828,0.00019822,0.00019822,0.00019822
7,5.83325,1.56913,2.45622,1.87951,0.45453,0.6285,0.5207,0.28104,1.37898,1.64303,2.01648,0.000229112,0.000229112,0.000229112
8,6.31708,1.50484,2.16813,1.77154,0.50467,0.65623,0.58782,0.30877,1.37989,1.74804,2.02172,0.00025842,0.00025842,0.00025842
9,6.79465,1.49688,1.85596,1.77093,0.48758,0.76271,0.59128,0.32183,1.38693,2.11923,2.09265,0.000286144,0.000286144,0.000286144
10,7.28218,1.49305,1.63259,1.81529,0.54121,0.77966,0.64034,0.3502,1.3573,2.49829,2.07852,0.000312284,0.000312284,0.000312284
11,7.75223,1.32906,1.50531,1.63065,0.57956,0.73729,0.67449,0.37352,1.26159,2.88977,1.98473,0.00033684,0.00033684,0.00033684
12,8.21202,1.33727,1.49511,1.63135,0.55029,0.82203,0.68953,0.39491,1.19078,3.20379,1.93908,0.000359812,0.000359812,0.000359812
13,8.77177,1.25955,1.34136,1.67986,0.54269,0.83898,0.70758,0.4135,1.16777,3.42215,1.97188,0.0003812,0.0003812,0.0003812
14,9.23511,1.2707,1.27117,1.64222,0.54848,0.86441,0.73267,0.44788,1.12893,3.23053,1.98425,0.000401004,0.000401004,0.000401004
15,9.68381,1.18675,1.24374,1.62337,0.57533,0.86109,0.76447,0.49797,1.09109,2.77055,1.94953,0.000419224,0.000419224,0.000419224
16,10.1343,1.2046,1.17985,1.62183,0.62335,0.84746,0.79414,0.5252,1.05856,2.31314,1.92694,0.00043586,0.00043586,0.00043586
17,10.6259,1.20248,1.13969,1.61701,0.68232,0.83731,0.81588,0.55309,1.03807,1.91811,1.92503,0.000450912,0.000450912,0.000450912
18,11.0927,1.17724,1.09567,1.62027,0.70537,0.81356,0.83623,0.58623,0.9932,1.65021,1.87989,0.00046438,0.00046438,0.00046438
19,11.5842,1.16651,1.05441,1.59996,0.73937,0.81356,0.85058,0.60457,0.97938,1.49741,1.88963,0.000476264,0.000476264,0.000476264
20,12.0289,1.08142,1.02537,1.66862,0.75751,0.81356,0.86796,0.61141,1.00303,1.40966,1.92279,0.000486564,0.000486564,0.000486564
21,12.4934,1.11931,1.04091,1.59504,0.7302,0.80277,0.86669,0.58385,1.06394,1.44865,2.00264,0.00049528,0.00049528,0.00049528
22,12.9339,1.17087,1.07279,1.67384,0.71304,0.80508,0.86752,0.55847,1.12566,1.52893,2.10125,0.000502412,0.000502412,0.000502412
23,13.4121,1.14093,1.05946,1.70732,0.7087,0.80411,0.86092,0.55558,1.11317,1.56737,2.06357,0.00050796,0.00050796,0.00050796
24,13.8508,1.08351,0.94697,1.53314,0.72378,0.80508,0.86718,0.58807,1.02768,1.4742,1.89699,0.000511924,0.000511924,0.000511924
25,14.423,1.0915,0.93576,1.54253,0.73408,0.82203,0.86435,0.61176,0.97423,1.43318,1.79887,0.000514304,0.000514304,0.000514304
26,14.8707,1.06368,0.87951,1.55557,0.73995,0.84398,0.86371,0.6322,0.94349,1.4406,1.74744,0.0005151,0.0005151,0.0005151
27,15.3339,1.02973,0.95445,1.59948,0.75343,0.84746,0.86623,0.63587,0.92932,1.44522,1.70451,0.000514312,0.000514312,0.000514312
28,15.7866,1.01697,0.85834,1.53014,0.75343,0.84746,0.86623,0.63587,0.92932,1.44522,1.70451,0.00051194,0.00051194,0.00051194
29,16.2627,1.02726,0.86992,1.4784,0.75103,0.85593,0.86593,0.63184,0.93542,1.39067,1.70443,0.000507984,0.000507984,0.000507984
30,16.7164,1.00019,0.82466,1.43442,0.74009,0.84746,0.8669,0.64126,0.92273,1.32446,1.69519,0.000502444,0.000502444,0.000502444
31,17.1727,1.00267,0.8728,1.53658,0.74009,0.84746,0.8669,0.64126,0.92273,1.32446,1.69519,0.00049532,0.00049532,0.00049532
32,17.6363,0.99822,0.82059,1.45211,0.75218,0.82313,0.87129,0.65251,0.88605,1.20766,1.6361,0.000486612,0.000486612,0.000486612
33,18.1096,1.04625,0.83889,1.49454,0.72735,0.83898,0.8764,0.66607,0.87275,1.1113,1.60533,0.00047632,0.00047632,0.00047632
34,18.5477,0.94043,0.79801,1.41906,0.72735,0.83898,0.8764,0.66607,0.87275,1.1113,1.60533,0.000464444,0.000464444,0.000464444
35,19.0053,0.97537,0.7953,1.5027,0.67607,0.91525,0.87836,0.67932,0.87726,1.03802,1.60251,0.000450984,0.000450984,0.000450984
36,19.4749,0.93434,0.80146,1.4529,0.70384,0.88621,0.88284,0.6877,0.87261,0.98742,1.59968,0.00043594,0.00043594,0.00043594
37,19.9167,0.939,0.79071,1.48626,0.70384,0.88621,0.88284,0.6877,0.87261,0.98742,1.59968,0.000419312,0.000419312,0.000419312
38,20.3804,0.94489,0.78841,1.40772,0.71683,0.85593,0.88982,0.69577,0.86648,0.92927,1.61457,0.0004011,0.0004011,0.0004011
39,20.918,0.95612,0.77259,1.41679,0.77053,0.79677,0.88878,0.68435,0.87945,0.90485,1.66201,0.000381304,0.000381304,0.000381304
40,21.3501,0.92692,0.76322,1.41331,0.77053,0.79677,0.88878,0.68435,0.87945,0.90485,1.66201,0.000359924,0.000359924,0.000359924
41,46.0257,0.87412,0.77158,1.52377,0.78502,0.81356,0.89371,0.67863,0.87203,0.881,1.65362,0.00033696,0.00033696,0.00033696
42,46.4681,0.85896,0.78914,1.48858,0.79526,0.79661,0.89635,0.68255,0.8503,0.8512,1.60562,0.000312412,0.000312412,0.000312412
43,46.8942,0.82142,0.72054,1.36237,0.79526,0.79661,0.89635,0.68255,0.8503,0.8512,1.60562,0.00028628,0.00028628,0.00028628
44,47.3245,0.79286,0.69475,1.38145,0.76711,0.83898,0.90531,0.70503,0.81842,0.81247,1.54502,0.000258564,0.000258564,0.000258564
45,47.7367,0.79358,0.68475,1.35552,0.76711,0.83898,0.90531,0.70503,0.81842,0.81247,1.54502,0.000229264,0.000229264,0.000229264
46,48.1661,0.82989,0.71853,1.36169,0.77571,0.84999,0.91239,0.71569,0.80447,0.78145,1.50957,0.00019838,0.00019838,0.00019838
47,48.5912,0.81628,0.70799,1.43518,0.77571,0.84999,0.91239,0.71569,0.80447,0.78145,1.50957,0.000165912,0.000165912,0.000165912
48,49.0347,0.81777,0.70822,1.35833,0.77111,0.85653,0.91613,0.72168,0.7945,0.76705,1.4849,0.00013186,0.00013186,0.00013186
49,49.4535,0.83777,0.71982,1.40507,0.77111,0.85653,0.91613,0.72168,0.7945,0.76705,1.4849,9.6224e-05,9.6224e-05,9.6224e-05
50,49.8943,0.85792,0.71377,1.47214,0.77204,0.86105,0.91705,0.71788,0.79361,0.76288,1.47844,5.9004e-05,5.9004e-05,5.9004e-05
